run,model_type,snap_idx,a,pos_mse_mean,pos_mse_std,pk_ratio_mean_k0.1,pk_ratio_std_k0.1,cross_corr_mean_k0.1,cross_corr_std_k0.1,pk_ratio_mean_k0.2,pk_ratio_std_k0.2,cross_corr_mean_k0.2,cross_corr_std_k0.2,pk_ratio_mean_k0.3,pk_ratio_std_k0.3,cross_corr_mean_k0.3,cross_corr_std_k0.3,pk_ratio_mean_k0.5,pk_ratio_std_k0.5,cross_corr_mean_k0.5,cross_corr_std_k0.5,pk_ratio_mean_k0.6,pk_ratio_std_k0.6,cross_corr_mean_k0.6,cross_corr_std_k0.6,pk_ratio_mean_k0.8,pk_ratio_std_k0.8,cross_corr_mean_k0.8,cross_corr_std_k0.8,pk_ratio_mean_k1.0,pk_ratio_std_k1.0,cross_corr_mean_k1.0,cross_corr_std_k1.0,pk_ratio_mean_k1.5,pk_ratio_std_k1.5,cross_corr_mean_k1.5,cross_corr_std_k1.5,pk_ratio_mean_k2.0,pk_ratio_std_k2.0,cross_corr_mean_k2.0,cross_corr_std_k2.0
LR (baseline),baseline,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976709485054016,0.00028466994990594685,0.9986753463745117,8.968202746473253e-05,0.9904557466506958,0.00045139994472265244,0.9952222108840942,0.00018660351634025574,0.9774482846260071,0.0003571963752619922,0.9892657995223999,0.00020942203991580755,0.9277621507644653,0.0004692777874879539,0.9692507982254028,0.00028541628853417933,0.8898776769638062,0.0004990357556380332,0.9556866884231567,0.0004773437976837158,0.7678833603858948,0.001973753562197089,0.9114187955856323,0.0008001722162589431,0.6277984380722046,0.002976150019094348,0.8501272201538086,0.0006959184538573027,0.282323956489563,0.003764069639146328,0.5380609035491943,0.00487432861700654,0.25892549753189087,0.004090066067874432,0.49802398681640625,0.0018532295944169164
LR (baseline),baseline,12,0.3204081654548645,4.58640379292774e-06,1.750684524939773e-08,0.9930499792098999,0.0003279244701843709,0.9986780285835266,7.820937025826424e-05,0.9723488092422485,0.0006217507761903107,0.9951621890068054,0.0002594231627881527,0.9389995336532593,0.0015338155208155513,0.9889602661132812,0.00014352785365190357,0.8376887440681458,0.0013513589510694146,0.9683171510696411,0.0006333938799798489,0.7769750356674194,0.000835335929878056,0.9534252882003784,0.0004798741138074547,0.6304187178611755,0.0012016816763207316,0.9058486223220825,0.0005979918641969562,0.5125663876533508,0.0026919511146843433,0.8461484909057617,0.001712242839857936,0.28383761644363403,0.0022529279813170433,0.6161435842514038,0.0020342101342976093,0.26896801590919495,0.0032341331243515015,0.5912851691246033,0.0039103394374251366
LR (baseline),baseline,24,0.5408163070678711,1.2436705947038718e-05,3.987519050631182e-08,0.993050754070282,0.00041785158100537956,0.9986815452575684,6.674178439425305e-05,0.9737567901611328,0.0007245460874401033,0.9950498342514038,0.00030269380658864975,0.9441602826118469,0.0018649534322321415,0.9887403249740601,0.00023970656911842525,0.8636983036994934,0.002160754520446062,0.9672985076904297,0.0007184354471974075,0.819767951965332,0.002976976567879319,0.9512007832527161,0.00048751733265817165,0.7183577418327332,0.003205912420526147,0.9016909599304199,0.0007900267373770475,0.6431149244308472,0.0070382822304964066,0.8437417149543762,0.0011769297998398542,0.4933553636074066,0.010396929457783699,0.6421636343002319,0.004041950684040785,0.4834788739681244,0.012231800705194473,0.6242588758468628,0.006639907602220774
LR (baseline),baseline,37,0.7795918583869934,2.168300998164341e-05,7.655672997825885e-08,0.9940314292907715,0.00046052332618273795,0.9986869096755981,5.755203164881095e-05,0.9789520502090454,0.0006159655749797821,0.9949406385421753,0.00031963037326931953,0.95610111951828,0.0015152829000726342,0.9886521100997925,0.00027375639183446765,0.8973482251167297,0.00218158308416605,0.9667627215385437,0.0003166296810377389,0.8673121333122253,0.0036476391833275557,0.9507017135620117,0.0010086583206430078,0.7897536158561707,0.004706924315541983,0.9030200242996216,0.0014075054787099361,0.7340134978294373,0.005890674889087677,0.8467923998832703,0.0023568104952573776,0.6052772998809814,0.01263001374900341,0.649695634841919,0.006621445994824171,0.591825544834137,0.01328240241855383,0.6324157118797302,0.010191156528890133
LR (baseline),baseline,49,1.0,2.883860252040904e-05,1.1218094129437193e-07,0.9945152997970581,0.0005216386634856462,0.9986915588378906,5.173117824597284e-05,0.9811357259750366,0.0005041310214437544,0.9948850870132446,0.0003164902445860207,0.9606936573982239,0.0013940146891400218,0.9886175394058228,0.0003090431564487517,0.9082496762275696,0.0032831155695021152,0.966545581817627,0.00028630674933083355,0.8811296224594116,0.003246484324336052,0.9505449533462524,0.0007801995379850268,0.8102922439575195,0.008696258999407291,0.9038232564926147,0.0011771254939958453,0.7492051720619202,0.010032239370048046,0.847648024559021,0.0018710169242694974,0.6067879796028137,0.019243666902184486,0.6543436646461487,0.0038967591244727373,0.5956667065620422,0.017631618306040764,0.6325329542160034,0.00628081476315856
cnn electric-dream,cnn,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976708292961121,0.00028453482082113624,0.9986754655838013,8.958637772593647e-05,0.9904555082321167,0.00045180253800936043,0.9952219724655151,0.0001868282415671274,0.9774478673934937,0.0003567960811778903,0.989266037940979,0.00020951233454979956,0.9277621507644653,0.00046961172483861446,0.9692507982254028,0.00028522787033580244,0.8898774981498718,0.0004987918073311448,0.9556859135627747,0.00047815655125305057,0.767883837223053,0.0019748909398913383,0.9114183187484741,0.0008000684319995344,0.6277989149093628,0.002975807059556246,0.8501269221305847,0.0006962243933230639,0.28232401609420776,0.0037637341301888227,0.538061261177063,0.00487460708245635,0.25892552733421326,0.004089993424713612,0.4980243146419525,0.00185349490493536
cnn electric-dream,cnn,12,0.3204081654548645,3.4196331398561596e-06,1.9424220078564575e-08,1.0007853507995605,0.0010527207050472498,0.9993009567260742,4.2913085053442046e-05,1.0006685256958008,0.0007588923908770084,0.997480034828186,0.00018685047689359635,1.0005806684494019,0.0019468751270323992,0.9945881962776184,0.00014100040425546467,0.9838771820068359,0.002193439519032836,0.9848309755325317,0.00025050624390132725,0.9660083055496216,0.003423026530072093,0.977089524269104,0.00048516367678530514,0.8811179399490356,0.005692010745406151,0.9482083320617676,0.0002070731861749664,0.7734550833702087,0.005234188865870237,0.9049133062362671,0.0012560433242470026,0.511074960231781,0.006386837922036648,0.7247254252433777,0.0007748479256406426,0.49358758330345154,0.005265434272587299,0.7061107754707336,0.003493349300697446
cnn electric-dream,cnn,24,0.5408163070678711,7.707713484705891e-06,4.864362024532395e-08,1.002661108970642,0.0014409756986424327,0.9996403455734253,3.290241147624329e-05,1.0072845220565796,0.0012140892213210464,0.9986858367919922,0.00012641851208172739,1.0157358646392822,0.0029067988507449627,0.9973228573799133,0.00010058311454486102,1.0272983312606812,0.002107742242515087,0.9924619793891907,0.00019313425582367927,1.030754566192627,0.0032427706755697727,0.9881852269172668,0.0004590909811668098,1.007784128189087,0.006867384538054466,0.9721090197563171,0.0003645166871137917,0.9688132405281067,0.005316509865224361,0.9494679570198059,0.0008376500336453319,0.8362666964530945,0.007156053092330694,0.8612225651741028,0.00241049169562757,0.8230430483818054,0.011062581092119217,0.8514634370803833,0.0031980182975530624
cnn electric-dream,cnn,37,0.7795918583869934,1.2684036300925073e-05,8.698090000293642e-08,1.0023993253707886,0.0013208742020651698,0.9998234510421753,2.176108318963088e-05,1.0073620080947876,0.001806785468943417,0.9992640614509583,2.6663110475055873e-05,1.0154080390930176,0.004469480365514755,0.9982210397720337,9.424510790267959e-05,1.0256617069244385,0.0008677679579705,0.9938909411430359,0.0005525535088963807,1.029442548751831,0.0022311548236757517,0.9897559881210327,0.0008784167002886534,1.0078709125518799,0.007718839216977358,0.9753506779670715,0.002057058969512582,0.9734055399894714,0.009471403434872627,0.9555689692497253,0.003592832013964653,0.851770281791687,0.014040911570191383,0.8775145411491394,0.005095752887427807,0.832219123840332,0.012592675164341927,0.8682495951652527,0.006102236919105053
cnn electric-dream,cnn,49,1.0,1.6896262241061778e-05,1.4684694592369436e-07,1.0015709400177002,0.0011608866043388844,0.9998628497123718,2.0933062842232175e-05,1.00584876537323,0.0023960494436323643,0.9992209672927856,9.074124682229012e-05,1.0121105909347534,0.005782003048807383,0.9976043701171875,0.00041764028719626367,1.0166150331497192,0.0010967490961775184,0.9906870722770691,0.0017901414539664984,1.015724539756775,0.0043626269325613976,0.9847705960273743,0.00276019424200058,0.9946166276931763,0.005191924516111612,0.9652436375617981,0.00538552226498723,0.9522541761398315,0.010848630219697952,0.9402716755867004,0.009298962540924549,0.8144803047180176,0.01264975219964981,0.847607433795929,0.01333655510097742,0.8021060824394226,0.014117373153567314,0.8372623324394226,0.01314631663262844
