run,model_type,sim_id,snap_idx,a,pos_mse,pk_ratio_k0.0245,cross_corr_k0.0245,pk_ratio_k0.0491,cross_corr_k0.0491,pk_ratio_k0.0736,cross_corr_k0.0736,pk_ratio_k0.0982,cross_corr_k0.0982,pk_ratio_k0.1227,cross_corr_k0.1227,pk_ratio_k0.1473,cross_corr_k0.1473,pk_ratio_k0.1718,cross_corr_k0.1718,pk_ratio_k0.1963,cross_corr_k0.1963,pk_ratio_k0.2209,cross_corr_k0.2209,pk_ratio_k0.2454,cross_corr_k0.2454,pk_ratio_k0.2700,cross_corr_k0.2700,pk_ratio_k0.2945,cross_corr_k0.2945,pk_ratio_k0.3191,cross_corr_k0.3191,pk_ratio_k0.3436,cross_corr_k0.3436,pk_ratio_k0.3682,cross_corr_k0.3682,pk_ratio_k0.3927,cross_corr_k0.3927,pk_ratio_k0.4172,cross_corr_k0.4172,pk_ratio_k0.4418,cross_corr_k0.4418,pk_ratio_k0.4663,cross_corr_k0.4663,pk_ratio_k0.4909,cross_corr_k0.4909,pk_ratio_k0.5154,cross_corr_k0.5154,pk_ratio_k0.5400,cross_corr_k0.5400,pk_ratio_k0.5645,cross_corr_k0.5645,pk_ratio_k0.5890,cross_corr_k0.5890,pk_ratio_k0.6136,cross_corr_k0.6136,pk_ratio_k0.6381,cross_corr_k0.6381,pk_ratio_k0.6627,cross_corr_k0.6627,pk_ratio_k0.6872,cross_corr_k0.6872,pk_ratio_k0.7118,cross_corr_k0.7118,pk_ratio_k0.7363,cross_corr_k0.7363,pk_ratio_k0.7609,cross_corr_k0.7609,pk_ratio_k0.7854,cross_corr_k0.7854,pk_ratio_k0.8099,cross_corr_k0.8099,pk_ratio_k0.8345,cross_corr_k0.8345,pk_ratio_k0.8590,cross_corr_k0.8590,pk_ratio_k0.8836,cross_corr_k0.8836,pk_ratio_k0.9081,cross_corr_k0.9081,pk_ratio_k0.9327,cross_corr_k0.9327,pk_ratio_k0.9572,cross_corr_k0.9572,pk_ratio_k0.9817,cross_corr_k0.9817,pk_ratio_k1.0063,cross_corr_k1.0063,pk_ratio_k1.0308,cross_corr_k1.0308,pk_ratio_k1.0554,cross_corr_k1.0554,pk_ratio_k1.0799,cross_corr_k1.0799,pk_ratio_k1.1045,cross_corr_k1.1045,pk_ratio_k1.1290,cross_corr_k1.1290,pk_ratio_k1.1536,cross_corr_k1.1536,pk_ratio_k1.1781,cross_corr_k1.1781,pk_ratio_k1.2026,cross_corr_k1.2026,pk_ratio_k1.2272,cross_corr_k1.2272,pk_ratio_k1.2517,cross_corr_k1.2517,pk_ratio_k1.2763,cross_corr_k1.2763,pk_ratio_k1.3008,cross_corr_k1.3008,pk_ratio_k1.3254,cross_corr_k1.3254,pk_ratio_k1.3499,cross_corr_k1.3499,pk_ratio_k1.3744,cross_corr_k1.3744,pk_ratio_k1.3990,cross_corr_k1.3990,pk_ratio_k1.4235,cross_corr_k1.4235,pk_ratio_k1.4481,cross_corr_k1.4481,pk_ratio_k1.4726,cross_corr_k1.4726,pk_ratio_k1.4972,cross_corr_k1.4972,pk_ratio_k1.5217,cross_corr_k1.5217,pk_ratio_k1.5463,cross_corr_k1.5463
LR (baseline),baseline,90,0,0.10000000149011612,4.493977598940546e-07,0.999625563621521,0.9998854398727417,0.9990618824958801,0.9997053742408752,0.9986515641212463,0.9992582201957703,0.9980440139770508,0.9987937808036804,0.9962612390518188,0.9981730580329895,0.994271457195282,0.9970651268959045,0.9929865598678589,0.9962757229804993,0.991117537021637,0.9951550364494324,0.9883243441581726,0.9938914179801941,0.9844130277633667,0.9919801950454712,0.9814525246620178,0.9905531406402588,0.9770862460136414,0.9892802834510803,0.973902702331543,0.9870645403862,0.966852068901062,0.9851994514465332,0.9633336663246155,0.982093334197998,0.9581326246261597,0.9804782867431641,0.9516067504882812,0.9778316020965576,0.9416736960411072,0.97565096616745,0.9343875050544739,0.973608136177063,0.9278398752212524,0.9696335792541504,0.9203420281410217,0.9658867716789246,0.9090486168861389,0.962615966796875,0.9001143574714661,0.9581437110900879,0.8903123140335083,0.9555724263191223,0.8770973086357117,0.9515647888183594,0.8680796027183533,0.9489697813987732,0.8538557291030884,0.9426079988479614,0.8439573049545288,0.9375445246696472,0.8280668258666992,0.9325370192527771,0.8141359686851501,0.928618848323822,0.7987412214279175,0.9233177900314331,0.7830949425697327,0.9168742895126343,0.7675577998161316,0.9117805361747742,0.7530720233917236,0.9031564593315125,0.732916533946991,0.8972405791282654,0.7173622250556946,0.8895063996315002,0.7000720500946045,0.8817972540855408,0.6817085146903992,0.8761683106422424,0.6674861907958984,0.8690659403800964,0.6459514498710632,0.8621163368225098,0.6276234984397888,0.8506776094436646,0.6103745102882385,0.8406914472579956,0.5932692289352417,0.8298653960227966,0.5677489638328552,0.8194336891174316,0.5569738149642944,0.8076527118682861,0.5368788242340088,0.7975851893424988,0.5120581388473511,0.7872161865234375,0.4934205710887909,0.7697192430496216,0.48313018679618835,0.7558954954147339,0.4593248963356018,0.7390406131744385,0.4405147433280945,0.7262314558029175,0.4272250235080719,0.7128156423568726,0.40599924325942993,0.6902670860290527,0.39305993914604187,0.6735788583755493,0.3729792833328247,0.6577274799346924,0.3564891219139099,0.6389331221580505,0.3435508906841278,0.6142915487289429,0.32658660411834717,0.599304735660553,0.31067967414855957,0.578056275844574,0.29860153794288635,0.5565348267555237,0.28189805150032043,0.5291658043861389,0.2734791040420532,0.5134270191192627,0.26183032989501953,0.49552682042121887
LR (baseline),baseline,90,12,0.3204081654548645,4.5797910388500895e-06,0.9991183280944824,0.9998871088027954,0.9975572228431702,0.9997052550315857,0.995728611946106,0.9992554783821106,0.9935570359230042,0.9987890124320984,0.9887396097183228,0.9981902837753296,0.9844280481338501,0.9970826506614685,0.9797873497009277,0.9963136911392212,0.9730216860771179,0.995076596736908,0.966228187084198,0.993934690952301,0.9571861624717712,0.9919270277023315,0.9482974410057068,0.9904364347457886,0.9361593723297119,0.9887070059776306,0.9299564957618713,0.9869733452796936,0.915255069732666,0.984990656375885,0.9067133665084839,0.9819655418395996,0.8971892595291138,0.9803382754325867,0.8813029527664185,0.9772515296936035,0.8652925491333008,0.9748942852020264,0.8523015379905701,0.972217857837677,0.838079035282135,0.9690706133842468,0.8250591158866882,0.964953601360321,0.8056843280792236,0.9613229632377625,0.7921384572982788,0.9571187496185303,0.7775650024414062,0.9525817632675171,0.7588480114936829,0.9497989416122437,0.7435197234153748,0.9466724991798401,0.7279800772666931,0.9394606351852417,0.7102905511856079,0.9352865219116211,0.6934893131256104,0.9304369688034058,0.6778092980384827,0.9238784909248352,0.6621909737586975,0.9186120629310608,0.6443480253219604,0.9123570919036865,0.6311920881271362,0.9061066508293152,0.6107871532440186,0.8979265093803406,0.5942728519439697,0.8932957649230957,0.584121823310852,0.8853894472122192,0.5654518008232117,0.8764728903770447,0.554190993309021,0.8710476756095886,0.539249062538147,0.8636013269424438,0.5240542888641357,0.8553729057312012,0.5077605247497559,0.8478341102600098,0.4963345527648926,0.837554931640625,0.4835529625415802,0.8257052898406982,0.4680982828140259,0.8181520104408264,0.458097368478775,0.8098507523536682,0.4438125193119049,0.7991473078727722,0.43138182163238525,0.7893972396850586,0.4170261323451996,0.7775560617446899,0.40730005502700806,0.7648894190788269,0.3953973352909088,0.7537394165992737,0.3805178701877594,0.744817852973938,0.37283092737197876,0.7306118011474609,0.36134302616119385,0.7199697494506836,0.3502715229988098,0.705977201461792,0.34075936675071716,0.6954303979873657,0.32837602496147156,0.6822949051856995,0.317554771900177,0.6683347821235657,0.3082757294178009,0.654585599899292,0.29803672432899475,0.6389486193656921,0.2901785969734192,0.6245641112327576,0.2828107178211212,0.6173141598701477,0.2756025791168213,0.6079182624816895,0.2674402594566345,0.587439775466919
LR (baseline),baseline,90,24,0.5408163070678711,1.2417758625815623e-05,0.9990867376327515,0.9998884201049805,0.9975035786628723,0.9997047781944275,0.9956017136573792,0.9992548227310181,0.9935389161109924,0.9987784028053284,0.9888069033622742,0.9981971979141235,0.9853724241256714,0.9971129894256592,0.9806521534919739,0.9963350296020508,0.9739619493484497,0.9949910640716553,0.9684674739837646,0.9939945936203003,0.9605608582496643,0.9916471838951111,0.952301561832428,0.9905471801757812,0.9407311081886292,0.9883514046669006,0.9371432662010193,0.9867676496505737,0.922076404094696,0.9845927953720093,0.9174918532371521,0.9817737936973572,0.9089075326919556,0.9796475172042847,0.8959653377532959,0.9765544533729553,0.8827856183052063,0.9733806848526001,0.8752241134643555,0.9707508087158203,0.8654329180717468,0.9678753018379211,0.8498983979225159,0.9633828401565552,0.8394043445587158,0.9595561027526855,0.8316468596458435,0.9554269909858704,0.8186233639717102,0.9503915905952454,0.8052778840065002,0.9475540518760681,0.7897114753723145,0.9438251852989197,0.7799155712127686,0.9357505440711975,0.7700115442276001,0.9309876561164856,0.7585359215736389,0.9274649620056152,0.7422910928726196,0.9205911159515381,0.7382760643959045,0.9158929586410522,0.7242913246154785,0.908879280090332,0.7139379382133484,0.9024425745010376,0.6999189853668213,0.896359920501709,0.6935842633247375,0.8879047632217407,0.6875110864639282,0.8833724856376648,0.6737065315246582,0.8746654987335205,0.6651899218559265,0.869370698928833,0.6552333831787109,0.8606208562850952,0.6472899317741394,0.8483916521072388,0.635004997253418,0.8427402973175049,0.6296920776367188,0.8351650834083557,0.6175199151039124,0.8249506950378418,0.6154929995536804,0.8170833587646484,0.6069546937942505,0.8070994019508362,0.599901556968689,0.7965749502182007,0.5897102952003479,0.7918735146522522,0.5767664313316345,0.7789952158927917,0.5730801224708557,0.7695102095603943,0.5635082125663757,0.757436215877533,0.556780219078064,0.7493274211883545,0.5485215783119202,0.7356321811676025,0.5471777319908142,0.7264869213104248,0.5366024374961853,0.7153081297874451,0.5269203186035156,0.7060889005661011,0.5216752886772156,0.6982444524765015,0.5111891627311707,0.6831393837928772,0.5040636658668518,0.6733046770095825,0.49938735365867615,0.6616499423980713,0.4895600974559784,0.6564586162567139,0.48411718010902405,0.6401800513267517,0.4880134165287018,0.6324540376663208,0.47324973344802856,0.6172186136245728
LR (baseline),baseline,90,37,0.7795918583869934,2.1658343030139804e-05,0.9991655349731445,0.9998893737792969,0.9978259801864624,0.9997045397758484,0.9960782527923584,0.9992575645446777,0.9945506453514099,0.9987649321556091,0.9906362295150757,0.9981951713562012,0.988494873046875,0.997156023979187,0.9846997857093811,0.9963558316230774,0.9789355993270874,0.9949470162391663,0.9747976064682007,0.9940536022186279,0.9695295095443726,0.991366982460022,0.9625509977340698,0.9906300902366638,0.9533749222755432,0.9882581233978271,0.9524237513542175,0.9866768717765808,0.9388693571090698,0.9843962788581848,0.9372141361236572,0.981788158416748,0.9291155934333801,0.9792500734329224,0.9218050837516785,0.9762374758720398,0.9096013307571411,0.9727119207382202,0.9076644778251648,0.9699182510375977,0.8983269929885864,0.9669294357299805,0.885800838470459,0.9623925685882568,0.882344126701355,0.9587539434432983,0.8779276609420776,0.9532037973403931,0.8675392866134644,0.9488996267318726,0.8576789498329163,0.9448793530464172,0.8463481068611145,0.9418933391571045,0.8373686671257019,0.9348185062408447,0.8341588973999023,0.9296523928642273,0.8254111409187317,0.9244242310523987,0.8103543519973755,0.916638970375061,0.8053551316261292,0.9128959774971008,0.7990800142288208,0.9056186079978943,0.7858275175094604,0.9002320170402527,0.7856624722480774,0.8930845856666565,0.7753768563270569,0.8887349963188171,0.768825352191925,0.8804205060005188,0.7574001550674438,0.873276948928833,0.7510306239128113,0.8675689697265625,0.7469316720962524,0.8596149682998657,0.7421268224716187,0.8508800268173218,0.7351816296577454,0.8428001999855042,0.7287821769714355,0.8338279128074646,0.7211536169052124,0.8257941603660583,0.7077596783638,0.8173491358757019,0.7047061324119568,0.8080387711524963,0.7044599652290344,0.7990474700927734,0.6996640563011169,0.7888143658638,0.6864212155342102,0.7777401804924011,0.6812865734100342,0.7692570686340332,0.6719174981117249,0.7563852667808533,0.6659187078475952,0.7440268993377686,0.6640880703926086,0.7401072382926941,0.6536645293235779,0.7263103127479553,0.643774688243866,0.716137707233429,0.6417856216430664,0.7047587037086487,0.6418368220329285,0.6932365298271179,0.635801374912262,0.6878032684326172,0.6264817714691162,0.6712052822113037,0.6209287047386169,0.6581732034683228,0.6182575225830078,0.6484684944152832,0.6138914227485657,0.6381997466087341,0.6123297810554504,0.6241692304611206,0.5951921939849854,0.6168354749679565
LR (baseline),baseline,90,49,1.0,2.8813212338718586e-05,0.9991999268531799,0.9998899698257446,0.9979792237281799,0.9997052550315857,0.9963069558143616,0.9992592334747314,0.9951661825180054,0.998754620552063,0.9913448691368103,0.9981867671012878,0.9898077845573425,0.9971870183944702,0.9863452315330505,0.9963718056678772,0.9816083908081055,0.9949314594268799,0.9779214859008789,0.9940778613090515,0.9725278615951538,0.9912664890289307,0.9664930105209351,0.9906269311904907,0.9581704139709473,0.9882971048355103,0.9587129354476929,0.9867820143699646,0.9468361735343933,0.984281063079834,0.9457330703735352,0.9818162322044373,0.9373337626457214,0.9792010188102722,0.9312503933906555,0.9765036702156067,0.9206792712211609,0.9728825092315674,0.9202480912208557,0.9703304171562195,0.9092762470245361,0.9669936299324036,0.9002176523208618,0.9626509547233582,0.8964544534683228,0.9594964385032654,0.8906570076942444,0.9527530670166016,0.8825949430465698,0.9492583274841309,0.8748630881309509,0.9446386098861694,0.8649282455444336,0.9413979649543762,0.8559330701828003,0.9359503388404846,0.853252112865448,0.9314121603965759,0.8433576226234436,0.9240490198135376,0.8318278789520264,0.9186453819274902,0.8255549669265747,0.9130530953407288,0.8185663223266602,0.906376302242279,0.804171621799469,0.9016431570053101,0.8046050667762756,0.8918675780296326,0.7950968742370605,0.8893610835075378,0.7846981287002563,0.8811757564544678,0.7804606556892395,0.8713591694831848,0.7683488726615906,0.8673430681228638,0.765025794506073,0.861242949962616,0.7592930793762207,0.8526636362075806,0.7488476037979126,0.8447467088699341,0.7465524673461914,0.8361480236053467,0.7342420220375061,0.8309280872344971,0.7274469137191772,0.8218777179718018,0.7240854501724243,0.8132975101470947,0.7161135077476501,0.8052904605865479,0.7074640989303589,0.8000766634941101,0.6982749700546265,0.7900051474571228,0.6934001445770264,0.7828179597854614,0.6879403591156006,0.7690921425819397,0.6830220222473145,0.7613779306411743,0.6789830327033997,0.7492823004722595,0.6626026034355164,0.7390454411506653,0.6618180274963379,0.7294127941131592,0.6487544178962708,0.7203473448753357,0.645711362361908,0.7131460309028625,0.6371452808380127,0.702738344669342,0.6331197619438171,0.6878008246421814,0.6230774521827698,0.6749212145805359,0.6222943663597107,0.668982207775116,0.6187995076179504,0.6583777666091919,0.617531418800354,0.6472315192222595,0.6041405200958252,0.6392735242843628
LR (baseline),baseline,91,0,0.10000000149011612,4.520675247476902e-07,0.9996597170829773,0.9998193383216858,0.9992918372154236,0.9995726346969604,0.998455822467804,0.9990626573562622,0.9975647926330566,0.9985460042953491,0.9965086579322815,0.9979865550994873,0.9947656393051147,0.997263491153717,0.9925090074539185,0.9960390329360962,0.9908824563026428,0.9950868487358093,0.9879037737846375,0.993590772151947,0.984869122505188,0.992569625377655,0.9803509712219238,0.9914746880531311,0.9781330227851868,0.9890920519828796,0.9732068777084351,0.9870558381080627,0.9681717753410339,0.9852268695831299,0.9619938135147095,0.9833869338035583,0.9585216045379639,0.980609118938446,0.9507888555526733,0.9774342775344849,0.9441977739334106,0.9750790596008301,0.9377889633178711,0.9727152585983276,0.9269195199012756,0.9693148136138916,0.9192095398902893,0.9668503999710083,0.9112492203712463,0.9630548357963562,0.9008557796478271,0.958330512046814,0.8902458548545837,0.9550037384033203,0.8756667971611023,0.9516443014144897,0.8682917952537537,0.946635901927948,0.8540202975273132,0.9435628056526184,0.8423267006874084,0.9386904239654541,0.8276052474975586,0.9349479675292969,0.8136987686157227,0.9267578125,0.7989761233329773,0.9233009815216064,0.7815248370170593,0.9176591038703918,0.7697229981422424,0.910326361656189,0.7506244778633118,0.9031549096107483,0.734326183795929,0.8977109789848328,0.7219170928001404,0.8908028602600098,0.7001436948776245,0.8856353163719177,0.6853399872779846,0.8777282238006592,0.6657662987709045,0.8691727519035339,0.647102415561676,0.8574365973472595,0.6286420822143555,0.8510175943374634,0.6149420142173767,0.8418164253234863,0.5875608921051025,0.830110490322113,0.5713641047477722,0.8221835494041443,0.5544382929801941,0.8097807168960571,0.5367878079414368,0.7942990064620972,0.5187248587608337,0.7808578610420227,0.49748167395591736,0.7720088362693787,0.48036739230155945,0.7594056129455566,0.46082761883735657,0.7442288994789124,0.44579315185546875,0.7286390066146851,0.4241923391819,0.7106135487556458,0.4073353111743927,0.6966645121574402,0.3873941898345947,0.6698004603385925,0.3763370215892792,0.6542673707008362,0.355753630399704,0.6358237862586975,0.34420081973075867,0.6174818873405457,0.3263348639011383,0.5967157483100891,0.31143465638160706,0.5754929780960083,0.30129557847976685,0.5546326041221619,0.28082478046417236,0.5391968488693237,0.2705077528953552,0.516913890838623,0.2615337371826172,0.49891605973243713
LR (baseline),baseline,91,12,0.3204081654548645,4.600749889505096e-06,0.9991024136543274,0.9998197555541992,0.9977142214775085,0.9995715022087097,0.9955845475196838,0.9990653395652771,0.9928987622261047,0.9985854625701904,0.9894058704376221,0.997909665107727,0.9841783046722412,0.9972487092018127,0.978321373462677,0.9961004853248596,0.9729689955711365,0.9950633645057678,0.9663798213005066,0.9933491349220276,0.9574735164642334,0.9925795197486877,0.9482133984565735,0.9911739826202393,0.9406620860099792,0.9889146089553833,0.9290090203285217,0.986678957939148,0.9174003601074219,0.9850461483001709,0.9049683213233948,0.982818067073822,0.8958101272583008,0.9806032776832581,0.8816583156585693,0.9773139953613281,0.8689050674438477,0.9741349816322327,0.8553919196128845,0.9716411828994751,0.8352630734443665,0.9676434993743896,0.8221365213394165,0.9656236171722412,0.8059671521186829,0.9613564014434814,0.7924649715423584,0.9562259912490845,0.7756152749061584,0.9536722898483276,0.7596192955970764,0.9493250846862793,0.7414647340774536,0.9448354244232178,0.7244746088981628,0.9388618469238281,0.7105879783630371,0.9361724853515625,0.6947775483131409,0.9304397702217102,0.673673152923584,0.923231840133667,0.6620288491249084,0.9176068902015686,0.642160952091217,0.9114482402801514,0.6281625628471375,0.9048685431480408,0.6092497706413269,0.8988258838653564,0.5969296097755432,0.8902199268341064,0.5837559103965759,0.8860955238342285,0.5643271803855896,0.8760055899620056,0.5536452531814575,0.8680451512336731,0.5417717695236206,0.8639711141586304,0.5253649353981018,0.8530985116958618,0.5128167271614075,0.8457664847373962,0.4948922395706177,0.8383479118347168,0.4810484051704407,0.8249521255493164,0.4693607985973358,0.817650318145752,0.4569288194179535,0.8056640028953552,0.4443776309490204,0.7966921925544739,0.43028271198272705,0.7884764671325684,0.42079535126686096,0.7782736420631409,0.40791797637939453,0.7661932110786438,0.3965575695037842,0.7532793283462524,0.3805437684059143,0.7451248168945312,0.37037670612335205,0.7338359355926514,0.36324697732925415,0.7151390314102173,0.3490186035633087,0.703941285610199,0.3423232138156891,0.6934399008750916,0.3266311287879944,0.6821820735931396,0.3209797739982605,0.6662053465843201,0.31022050976753235,0.655541181564331,0.3016548752784729,0.6418707370758057,0.2872088849544525,0.6341269612312317,0.2814990282058716,0.6155015230178833,0.2760513424873352,0.6081048250198364,0.2650623619556427,0.5986559391021729
LR (baseline),baseline,91,24,0.5408163070678711,1.2461890946724452e-05,0.9990734457969666,0.9998195767402649,0.9976752996444702,0.9995712041854858,0.9955307841300964,0.9990698099136353,0.9927723407745361,0.9986312389373779,0.9893849492073059,0.9978383183479309,0.9845424890518188,0.9971792101860046,0.979070782661438,0.9961152076721191,0.9745607972145081,0.9950190186500549,0.9684863090515137,0.9931706786155701,0.9607822299003601,0.9924849271774292,0.9525806307792664,0.9908367991447449,0.9452334642410278,0.9886329770088196,0.9347147345542908,0.986677885055542,0.9257269501686096,0.9847151637077332,0.9152014851570129,0.9824055433273315,0.9086868762969971,0.9801822900772095,0.8978113532066345,0.9763733148574829,0.8881112933158875,0.9737054705619812,0.8768671751022339,0.9706554412841797,0.8595834970474243,0.9664889574050903,0.8530527949333191,0.9638903141021729,0.8413423895835876,0.9601439833641052,0.8307369947433472,0.9552276134490967,0.8159562349319458,0.9513294100761414,0.8087415099143982,0.9466575384140015,0.794079601764679,0.9422322511672974,0.7838013172149658,0.9379621744155884,0.7714119553565979,0.9314804077148438,0.7623387575149536,0.9263314604759216,0.7505990862846375,0.9209951758384705,0.7391243577003479,0.9139599800109863,0.7264223098754883,0.9073483347892761,0.7187429070472717,0.9012325406074524,0.7070633172988892,0.8969957828521729,0.697261393070221,0.8870903253555298,0.6828625202178955,0.8815729022026062,0.6726922392845154,0.8767090439796448,0.6687009930610657,0.8667999505996704,0.6592438817024231,0.8589963912963867,0.6510562896728516,0.8500379323959351,0.6404262781143188,0.8430297374725342,0.6296288967132568,0.8358997106552124,0.6236109137535095,0.8236942291259766,0.6124138236045837,0.8171068429946899,0.606243371963501,0.8072270750999451,0.5988554358482361,0.796680212020874,0.5888198018074036,0.7903550863265991,0.578021764755249,0.7781057357788086,0.5702099800109863,0.7670131921768188,0.5626723170280457,0.7565487027168274,0.5577166080474854,0.7463840246200562,0.550396203994751,0.7377071976661682,0.5471094846725464,0.7236402034759521,0.5357339382171631,0.7155734896659851,0.53456050157547,0.7049617767333984,0.5184108018875122,0.6960728764533997,0.5133978128433228,0.6827394962310791,0.5095453262329102,0.6679984331130981,0.5055465698242188,0.6555345058441162,0.4914541244506836,0.6500793099403381,0.491443932056427,0.6370920538902283,0.4875166714191437,0.6291517019271851,0.4746762216091156,0.6160418391227722
LR (baseline),baseline,91,37,0.7795918583869934,2.166356898669619e-05,0.9991981983184814,0.9998194575309753,0.9979937672615051,0.9995715022087097,0.9961435794830322,0.9990760087966919,0.9936314225196838,0.9986680746078491,0.9908825755119324,0.9977864027023315,0.9872130751609802,0.9971101880073547,0.9832888841629028,0.99607253074646,0.9797899127006531,0.9949463605880737,0.9749136567115784,0.9931167960166931,0.9696414470672607,0.992210328578949,0.9638106822967529,0.9905956387519836,0.9566717147827148,0.9883974194526672,0.9486083388328552,0.9865317940711975,0.9431250095367432,0.9843541979789734,0.9338924288749695,0.9825130701065063,0.9304618835449219,0.9795905947685242,0.9207867383956909,0.9760276675224304,0.913121223449707,0.9737218022346497,0.9046453833580017,0.9704534411430359,0.893805205821991,0.9662300944328308,0.8912082314491272,0.963087260723114,0.8826213479042053,0.9600763916969299,0.874282956123352,0.9563021659851074,0.8625484704971313,0.9503236413002014,0.856560468673706,0.9469764828681946,0.8470343947410583,0.9418935775756836,0.8427225947380066,0.9379773139953613,0.8299753069877625,0.9317893385887146,0.8250434398651123,0.9265285134315491,0.8164008259773254,0.9201111793518066,0.8062799572944641,0.9142023921012878,0.7993409633636475,0.9094066619873047,0.789668619632721,0.9037464261054993,0.7799631357192993,0.8972966074943542,0.7757874131202698,0.8888602256774902,0.7602052688598633,0.8810876607894897,0.7554023861885071,0.8770496845245361,0.7467961311340332,0.8708224296569824,0.7465358972549438,0.8603097200393677,0.7414580583572388,0.8527724742889404,0.7312393188476562,0.8490898013114929,0.721610963344574,0.8407537341117859,0.7183840870857239,0.8313697576522827,0.7086999416351318,0.8228705525398254,0.7017467617988586,0.812760591506958,0.6917652487754822,0.8016906976699829,0.6859423518180847,0.7956433892250061,0.6781411170959473,0.7879371047019958,0.6689504981040955,0.7764933109283447,0.6690054535865784,0.768028736114502,0.6643654108047485,0.7573251128196716,0.6542843580245972,0.7484377026557922,0.6475816369056702,0.7386763691902161,0.6435538530349731,0.7256141901016235,0.6343104839324951,0.717208743095398,0.6360742449760437,0.7053747773170471,0.6261776685714722,0.6930117607116699,0.6164822578430176,0.6888649463653564,0.6119760870933533,0.6742119193077087,0.6079608201980591,0.6626981496810913,0.6015976667404175,0.6515641808509827,0.6007283926010132,0.6460478901863098,0.592170238494873,0.6415373086929321
LR (baseline),baseline,91,49,1.0,2.8773654776159674e-05,0.9992640018463135,0.9998196363449097,0.9981323480606079,0.9995711445808411,0.9964255690574646,0.9990823864936829,0.9939612150192261,0.9986925721168518,0.9915675520896912,0.9977631568908691,0.9884920120239258,0.9970659017562866,0.9852825403213501,0.996042013168335,0.9818158149719238,0.9949045181274414,0.9773205518722534,0.9931268095970154,0.9735798835754395,0.9920223951339722,0.968528151512146,0.9904922842979431,0.9619015455245972,0.9882137179374695,0.9544569849967957,0.9863442778587341,0.9507687091827393,0.984027624130249,0.9416011571884155,0.9825634956359863,0.9389362335205078,0.9792924523353577,0.9300668835639954,0.9757731556892395,0.9240484237670898,0.973554253578186,0.9147840142250061,0.9704565405845642,0.906844437122345,0.9661988615989685,0.9043182730674744,0.9629269242286682,0.8967713117599487,0.9597771763801575,0.8873098492622375,0.956346333026886,0.8817871809005737,0.9514076709747314,0.8717129826545715,0.9465306401252747,0.8638489842414856,0.9419764876365662,0.8580794930458069,0.9384916424751282,0.8471190333366394,0.9317730069160461,0.8404809832572937,0.9271026253700256,0.8355637788772583,0.919266402721405,0.8224055171012878,0.9144250154495239,0.8184549808502197,0.9088640213012695,0.8123728036880493,0.9039893746376038,0.802426815032959,0.8968697786331177,0.7929427027702332,0.8910983800888062,0.7831841707229614,0.8835752606391907,0.7717204689979553,0.8781229257583618,0.7677599787712097,0.8749838471412659,0.7636202573776245,0.8644976019859314,0.7574309706687927,0.8558778762817383,0.7428489327430725,0.8503673076629639,0.7362169027328491,0.8429697751998901,0.7282469272613525,0.8345829844474792,0.7179456949234009,0.824409544467926,0.7089255452156067,0.8169912099838257,0.6995525360107422,0.8070666790008545,0.6924445033073425,0.8002899885177612,0.6848196387290955,0.7905969619750977,0.6788264513015747,0.7790347933769226,0.6677233576774597,0.7739060521125793,0.6630500555038452,0.7614903450012207,0.6533101797103882,0.7517238259315491,0.6438069939613342,0.7398067712783813,0.6368386745452881,0.7303321957588196,0.6310199499130249,0.7219280004501343,0.6257390379905701,0.7085229158401489,0.6133086681365967,0.6996869444847107,0.6075044274330139,0.6915976405143738,0.6042285561561584,0.6768842935562134,0.6013856530189514,0.6625527143478394,0.5900019407272339,0.6545008420944214,0.5845822691917419,0.6470082402229309,0.5779522061347961,0.6332407593727112
