run,model_type,snap_idx,a,pos_mse_mean,pos_mse_std,pk_ratio_mean_k0.1,pk_ratio_std_k0.1,cross_corr_mean_k0.1,cross_corr_std_k0.1,pk_ratio_mean_k0.2,pk_ratio_std_k0.2,cross_corr_mean_k0.2,cross_corr_std_k0.2,pk_ratio_mean_k0.3,pk_ratio_std_k0.3,cross_corr_mean_k0.3,cross_corr_std_k0.3,pk_ratio_mean_k0.5,pk_ratio_std_k0.5,cross_corr_mean_k0.5,cross_corr_std_k0.5,pk_ratio_mean_k0.6,pk_ratio_std_k0.6,cross_corr_mean_k0.6,cross_corr_std_k0.6,pk_ratio_mean_k0.8,pk_ratio_std_k0.8,cross_corr_mean_k0.8,cross_corr_std_k0.8,pk_ratio_mean_k1.0,pk_ratio_std_k1.0,cross_corr_mean_k1.0,cross_corr_std_k1.0,pk_ratio_mean_k1.5,pk_ratio_std_k1.5,cross_corr_mean_k1.5,cross_corr_std_k1.5,pk_ratio_mean_k2.0,pk_ratio_std_k2.0,cross_corr_mean_k2.0,cross_corr_std_k2.0
LR (baseline),baseline,0,0.10000000149011612,4.5025888653071886e-07,1.5650803293287261e-09,0.9976707696914673,0.00028467661468312144,0.9986754655838013,8.970413182396442e-05,0.9904558062553406,0.0004516271292231977,0.9952222108840942,0.00018636873573996127,0.9774481654167175,0.00035703391768038273,0.9892657995223999,0.0002097694668918848,0.9277619123458862,0.00046969251707196236,0.9692510366439819,0.00028502955683507025,0.8898776769638062,0.0004992077010683715,0.9556862115859985,0.0004775651905220002,0.7678832411766052,0.0019736960530281067,0.911418616771698,0.0008001060923561454,0.627798855304718,0.002975709503516555,0.8501272201538086,0.000696449656970799,0.28232383728027344,0.0037636952474713326,0.5380606055259705,0.004873801488429308,0.2589254379272461,0.004090165253728628,0.4980239272117615,0.0018532501999288797
LR (baseline),baseline,12,0.3204081654548645,4.586403883877211e-06,1.750681341489481e-08,0.9930500984191895,0.0003277603827882558,0.9986779093742371,7.81421986175701e-05,0.972348690032959,0.0006215069442987442,0.9951621890068054,0.0002592763921711594,0.9389995336532593,0.0015340904938057065,0.9889601469039917,0.00014378900232259184,0.8376893997192383,0.0013510551070794463,0.9683172106742859,0.0006335090147331357,0.7769745588302612,0.0008351092110387981,0.953425407409668,0.0004797208821401,0.6304187774658203,0.001202085055410862,0.9058486223220825,0.0005977549590170383,0.5125662088394165,0.002692213049158454,0.8461476564407349,0.001711959601379931,0.2838377058506012,0.0022528041154146194,0.6161428689956665,0.002033261116594076,0.26896771788597107,0.0032346139196306467,0.5912848711013794,0.003910780418664217
LR (baseline),baseline,24,0.5408163070678711,1.2436705947038718e-05,3.9875699761761174e-08,0.993050754070282,0.00041790143586695194,0.9986812472343445,6.672638846794143e-05,0.9737569093704224,0.000724366691429168,0.9950500726699829,0.0003029218642041087,0.9441602826118469,0.0018646613461896777,0.988740086555481,0.00024003158614505082,0.8636981844902039,0.00216028094291687,0.967298150062561,0.0007185166468843818,0.8197681307792664,0.0029772412963211536,0.9512011408805847,0.00048784996033646166,0.7183570861816406,0.003206229070201516,0.9016909599304199,0.0007903047371655703,0.6431147456169128,0.00703857047483325,0.8437417149543762,0.0011762650683522224,0.4933566451072693,0.010396587662398815,0.6421639323234558,0.004041403532028198,0.4834788739681244,0.012232462875545025,0.6242586970329285,0.006639913190156221
LR (baseline),baseline,37,0.7795918583869934,2.1683009617845527e-05,7.655820061232389e-08,0.9940314292907715,0.00046036476851440966,0.9986867904663086,5.746984970755875e-05,0.9789525866508484,0.000616090779658407,0.9949406385421753,0.0003195529570803046,0.9561014175415039,0.0015148770762607455,0.9886524081230164,0.0002731384302023798,0.8973484039306641,0.0021817379165440798,0.9667628407478333,0.0003168133262079209,0.8673111796379089,0.003647871781140566,0.950701892375946,0.0010088274721056223,0.7897535562515259,0.004707464016973972,0.903020977973938,0.0014077355153858662,0.7340137958526611,0.005891700740903616,0.8467923998832703,0.002357680583372712,0.6052771210670471,0.012629738077521324,0.6496955752372742,0.00662127835676074,0.5918259620666504,0.013282544910907745,0.6324155926704407,0.010191293433308601
LR (baseline),baseline,49,1.0,2.883860179281328e-05,1.1218196407926284e-07,0.9945152997970581,0.0005216354038566351,0.9986915588378906,5.186172711546533e-05,0.9811359643936157,0.0005042134434916079,0.9948850870132446,0.0003165490343235433,0.960693359375,0.0013938870979472995,0.9886173009872437,0.0003088506928179413,0.9082499742507935,0.0032831893768161535,0.9665452837944031,0.00028655861387960613,0.8811296224594116,0.0032462363597005606,0.950544536113739,0.0007804990164004266,0.8102926015853882,0.008696872740983963,0.9038233757019043,0.0011773596052080393,0.7492057681083679,0.010031423531472683,0.8476476669311523,0.0018711603479459882,0.6067882180213928,0.019243719056248665,0.6543415188789368,0.0038974066264927387,0.5956670045852661,0.017632149159908295,0.6325325965881348,0.006280481815338135
cnn electric-dream,cnn,0,0.10000000149011612,4.5025889789940264e-07,1.5650840034042233e-09,0.9976707696914673,0.00028467661468312144,0.9986754655838013,8.970413182396442e-05,0.9904558062553406,0.0004516271292231977,0.9952222108840942,0.00018636873573996127,0.9774481654167175,0.00035703391768038273,0.9892657995223999,0.0002097694668918848,0.9277619123458862,0.00046969251707196236,0.9692510366439819,0.00028502955683507025,0.8898776769638062,0.0004992077010683715,0.9556862115859985,0.0004775651905220002,0.7678832411766052,0.0019736960530281067,0.911418616771698,0.0008001060923561454,0.627798855304718,0.002975709503516555,0.8501272201538086,0.000696449656970799,0.28232383728027344,0.0037636952474713326,0.5380606055259705,0.004873801488429308,0.2589254379272461,0.004090165253728628,0.4980239272117615,0.0018532501999288797
cnn electric-dream,cnn,12,0.3204081654548645,3.4194451473013034e-06,1.9419400710400053e-08,1.0010244846343994,0.0010537677444517612,0.9993006587028503,4.2731757275760174e-05,1.0009154081344604,0.0007562513346783817,0.9974803924560547,0.0001866502861957997,1.0008400678634644,0.0019464872311800718,0.9945886731147766,0.00014120042033027858,0.9841664433479309,0.002198068192228675,0.9848319292068481,0.00025019736494868994,0.9663152694702148,0.0034242349211126566,0.9770900011062622,0.00048580887960270047,0.8814498782157898,0.005700915120542049,0.9482065439224243,0.00020777904137503356,0.7737863063812256,0.005240587517619133,0.904908299446106,0.0012537565780803561,0.5113824009895325,0.006367350462824106,0.7247304320335388,0.0007725773029960692,0.49390166997909546,0.0052716657519340515,0.7061161994934082,0.003498903475701809
cnn electric-dream,cnn,24,0.5408163070678711,7.707709664828144e-06,4.865905858787544e-08,1.0029913187026978,0.0014434171607717872,0.999640166759491,3.2978696253849193e-05,1.0076453685760498,0.0012079277075827122,0.9986861348152161,0.0001256218965863809,1.0161274671554565,0.002908649854362011,0.9973238110542297,0.0001005022568278946,1.0277519226074219,0.0021198007743805647,0.992462158203125,0.00019378693832550198,1.0312615633010864,0.003247902262955904,0.9881834983825684,0.0004582168476190418,1.0083627700805664,0.006898883264511824,0.9721007347106934,0.00036248250398784876,0.9694236516952515,0.005307410378009081,0.9494541883468628,0.0008387935231439769,0.8368616104125977,0.007174644153565168,0.8612155914306641,0.0024065773468464613,0.8236299753189087,0.011082599870860577,0.8514600992202759,0.0031991340219974518
cnn electric-dream,cnn,37,0.7795918583869934,1.2684977082244587e-05,8.70357222796962e-08,1.0027778148651123,0.001326538622379303,0.9998233914375305,2.1848381948075257e-05,1.0077946186065674,0.0018013822846114635,0.9992645978927612,2.6179062842857093e-05,1.0158809423446655,0.004468838684260845,0.9982205629348755,9.493012476013973e-05,1.0261924266815186,0.0008920648251660168,0.9938892126083374,0.0005524209700524807,1.0300077199935913,0.0022295331582427025,0.989751935005188,0.0008808095590211451,1.0084863901138306,0.007739920634776354,0.9753379821777344,0.0020566703751683235,0.9739776849746704,0.009493541903793812,0.9555501937866211,0.0035909072030335665,0.8522171974182129,0.014035188592970371,0.8774536848068237,0.005088090896606445,0.8326305150985718,0.01261682715266943,0.8681882619857788,0.006094960495829582
cnn electric-dream,cnn,49,1.0,1.6898191461223178e-05,1.4703753605118703e-07,1.0019731521606445,0.0011734614381566644,0.999862790107727,2.108554144797381e-05,1.006317377090454,0.0023962105624377728,0.9992208480834961,9.097791189560667e-05,1.0126259326934814,0.005778937134891748,0.997602641582489,0.0004171062319073826,1.0171804428100586,0.0011042701080441475,0.9906835556030273,0.0017870881129056215,1.0163174867630005,0.004312231671065092,0.9847644567489624,0.002757890848442912,0.9952318072319031,0.005193525925278664,0.9652311205863953,0.0053861127234995365,0.9527788162231445,0.010900779627263546,0.940243124961853,0.009283913299441338,0.8148309588432312,0.01263885572552681,0.8475745320320129,0.01328869815915823,0.8024616241455078,0.014095636084675789,0.8372222781181335,0.013087533414363861
