run,model_type,sim_id,snap_idx,a,pos_mse,pk_ratio_k0.0245,cross_corr_k0.0245,pk_ratio_k0.0491,cross_corr_k0.0491,pk_ratio_k0.0736,cross_corr_k0.0736,pk_ratio_k0.0982,cross_corr_k0.0982,pk_ratio_k0.1227,cross_corr_k0.1227,pk_ratio_k0.1473,cross_corr_k0.1473,pk_ratio_k0.1718,cross_corr_k0.1718,pk_ratio_k0.1963,cross_corr_k0.1963,pk_ratio_k0.2209,cross_corr_k0.2209,pk_ratio_k0.2454,cross_corr_k0.2454,pk_ratio_k0.2700,cross_corr_k0.2700,pk_ratio_k0.2945,cross_corr_k0.2945,pk_ratio_k0.3191,cross_corr_k0.3191,pk_ratio_k0.3436,cross_corr_k0.3436,pk_ratio_k0.3682,cross_corr_k0.3682,pk_ratio_k0.3927,cross_corr_k0.3927,pk_ratio_k0.4172,cross_corr_k0.4172,pk_ratio_k0.4418,cross_corr_k0.4418,pk_ratio_k0.4663,cross_corr_k0.4663,pk_ratio_k0.4909,cross_corr_k0.4909,pk_ratio_k0.5154,cross_corr_k0.5154,pk_ratio_k0.5400,cross_corr_k0.5400,pk_ratio_k0.5645,cross_corr_k0.5645,pk_ratio_k0.5890,cross_corr_k0.5890,pk_ratio_k0.6136,cross_corr_k0.6136,pk_ratio_k0.6381,cross_corr_k0.6381,pk_ratio_k0.6627,cross_corr_k0.6627,pk_ratio_k0.6872,cross_corr_k0.6872,pk_ratio_k0.7118,cross_corr_k0.7118,pk_ratio_k0.7363,cross_corr_k0.7363,pk_ratio_k0.7609,cross_corr_k0.7609,pk_ratio_k0.7854,cross_corr_k0.7854,pk_ratio_k0.8099,cross_corr_k0.8099,pk_ratio_k0.8345,cross_corr_k0.8345,pk_ratio_k0.8590,cross_corr_k0.8590,pk_ratio_k0.8836,cross_corr_k0.8836,pk_ratio_k0.9081,cross_corr_k0.9081,pk_ratio_k0.9327,cross_corr_k0.9327,pk_ratio_k0.9572,cross_corr_k0.9572,pk_ratio_k0.9817,cross_corr_k0.9817,pk_ratio_k1.0063,cross_corr_k1.0063,pk_ratio_k1.0308,cross_corr_k1.0308,pk_ratio_k1.0554,cross_corr_k1.0554,pk_ratio_k1.0799,cross_corr_k1.0799,pk_ratio_k1.1045,cross_corr_k1.1045,pk_ratio_k1.1290,cross_corr_k1.1290,pk_ratio_k1.1536,cross_corr_k1.1536,pk_ratio_k1.1781,cross_corr_k1.1781,pk_ratio_k1.2026,cross_corr_k1.2026,pk_ratio_k1.2272,cross_corr_k1.2272,pk_ratio_k1.2517,cross_corr_k1.2517,pk_ratio_k1.2763,cross_corr_k1.2763,pk_ratio_k1.3008,cross_corr_k1.3008,pk_ratio_k1.3254,cross_corr_k1.3254,pk_ratio_k1.3499,cross_corr_k1.3499,pk_ratio_k1.3744,cross_corr_k1.3744,pk_ratio_k1.3990,cross_corr_k1.3990,pk_ratio_k1.4235,cross_corr_k1.4235,pk_ratio_k1.4481,cross_corr_k1.4481,pk_ratio_k1.4726,cross_corr_k1.4726,pk_ratio_k1.4972,cross_corr_k1.4972,pk_ratio_k1.5217,cross_corr_k1.5217,pk_ratio_k1.5463,cross_corr_k1.5463
LR (baseline),baseline,90,0,0.10000000149011612,4.493977314723452e-07,0.9996253252029419,0.9998854398727417,0.9990618228912354,0.9997052550315857,0.9986518025398254,0.9992578029632568,0.9980436563491821,0.9987940192222595,0.9962619543075562,0.9981729388237,0.9942710399627686,0.9970657229423523,0.9929867386817932,0.9962758421897888,0.9911176562309265,0.9951552748680115,0.9883239269256592,0.9938908219337463,0.984413206577301,0.9919793605804443,0.9814523458480835,0.9905533790588379,0.9770858883857727,0.9892798662185669,0.9739035367965698,0.9870653748512268,0.9668517112731934,0.9851985573768616,0.9633337259292603,0.982093095779419,0.9581326246261597,0.9804783463478088,0.9516059160232544,0.9778316617012024,0.9416739344596863,0.9756516218185425,0.9343870878219604,0.9736071228981018,0.9278387427330017,0.9696340560913086,0.9203413724899292,0.9658865928649902,0.9090502858161926,0.9626138210296631,0.9001150727272034,0.9581444263458252,0.8903136253356934,0.955572247505188,0.8770979046821594,0.9515636563301086,0.8680778741836548,0.9489702582359314,0.8538554906845093,0.9426084160804749,0.8439568877220154,0.9375437498092651,0.8280657529830933,0.9325373768806458,0.8141359686851501,0.9286152124404907,0.7987412810325623,0.9233179092407227,0.7830963730812073,0.9168716073036194,0.7675592303276062,0.9117820858955383,0.7530719637870789,0.9031555652618408,0.7329143285751343,0.8972403407096863,0.7173631191253662,0.8895077705383301,0.7000724077224731,0.8818009495735168,0.6817108392715454,0.8761674165725708,0.6674867272377014,0.8690674304962158,0.6459507346153259,0.8621164560317993,0.6276237964630127,0.8506772518157959,0.6103743314743042,0.8406906723976135,0.5932689905166626,0.8298670053482056,0.5677499175071716,0.8194347023963928,0.5569742918014526,0.8076529502868652,0.5368785262107849,0.7975836992263794,0.5120585560798645,0.7872161269187927,0.49342072010040283,0.7697189450263977,0.4831303060054779,0.7558956146240234,0.45932403206825256,0.7390426993370056,0.4405156970024109,0.7262316346168518,0.4272252023220062,0.7128150463104248,0.40599867701530457,0.6902651786804199,0.39305877685546875,0.6735787391662598,0.37297964096069336,0.6577244400978088,0.356489896774292,0.6389312744140625,0.34355151653289795,0.6142921447753906,0.32658758759498596,0.5993053913116455,0.310680627822876,0.5780565142631531,0.29860275983810425,0.5565336346626282,0.2818986177444458,0.5291672348976135,0.2734782099723816,0.5134279131889343,0.2618308961391449,0.4955271780490875
LR (baseline),baseline,90,12,0.3204081654548645,4.5797910388500895e-06,0.9991183876991272,0.9998870491981506,0.9975573420524597,0.9997057318687439,0.995728611946106,0.9992555975914001,0.9935569763183594,0.9987887144088745,0.988739013671875,0.9981905221939087,0.9844284653663635,0.9970826506614685,0.9797875881195068,0.9963136911392212,0.9730218648910522,0.9950768947601318,0.9662296175956726,0.9939342737197876,0.9571864604949951,0.9919268488883972,0.9482971429824829,0.9904366135597229,0.9361588358879089,0.9887064695358276,0.9299567937850952,0.9869732856750488,0.9152554273605347,0.9849905371665955,0.9067134857177734,0.9819657802581787,0.8971899747848511,0.9803386330604553,0.8813024163246155,0.9772511720657349,0.865293025970459,0.9748948812484741,0.8523011803627014,0.972217857837677,0.8380804061889648,0.9690707921981812,0.8250589966773987,0.9649536609649658,0.8056836128234863,0.9613219499588013,0.7921377420425415,0.9571182727813721,0.7775627970695496,0.9525821805000305,0.75885009765625,0.9498000741004944,0.7435194849967957,0.9466733336448669,0.7279815673828125,0.9394615292549133,0.7102901935577393,0.9352856874465942,0.6934901475906372,0.9304376840591431,0.6778109669685364,0.9238794445991516,0.6621911525726318,0.9186117649078369,0.6443479657173157,0.912358283996582,0.6311911344528198,0.9061055183410645,0.6107869744300842,0.8979259133338928,0.5942748188972473,0.8932949900627136,0.5841207504272461,0.8853901624679565,0.5654516816139221,0.8764737844467163,0.5541902184486389,0.8710485696792603,0.5392485857009888,0.8636011481285095,0.5240556597709656,0.8553731441497803,0.5077597498893738,0.8478338718414307,0.4963354468345642,0.8375539183616638,0.48355287313461304,0.825702428817749,0.468099445104599,0.8181535601615906,0.4580981433391571,0.809852123260498,0.443813681602478,0.7991493940353394,0.43138110637664795,0.7893970012664795,0.4170263409614563,0.777556300163269,0.407300740480423,0.7648903131484985,0.3953973352909088,0.7537392377853394,0.3805178999900818,0.7448185086250305,0.3728310465812683,0.7306130528450012,0.36134421825408936,0.7199699282646179,0.3502713739871979,0.70597904920578,0.3407592475414276,0.6954299807548523,0.32837626338005066,0.6822943687438965,0.3175542950630188,0.6683374047279358,0.3082762062549591,0.6545844674110413,0.29803702235221863,0.6389488577842712,0.29017913341522217,0.6245615482330322,0.28281015157699585,0.6173120737075806,0.27560219168663025,0.6079182624816895,0.26743993163108826,0.5874408483505249
LR (baseline),baseline,90,24,0.5408163070678711,1.241775771632092e-05,0.9990869760513306,0.9998883008956909,0.9975034594535828,0.9997046589851379,0.995602011680603,0.9992548227310181,0.9935389161109924,0.998778223991394,0.9888067245483398,0.9981971383094788,0.9853723645210266,0.9971128702163696,0.9806520938873291,0.996335506439209,0.9739618301391602,0.9949910640716553,0.968468189239502,0.9939945340156555,0.9605609178543091,0.9916468262672424,0.9523014426231384,0.9905466437339783,0.9407317042350769,0.9883508086204529,0.9371445775032043,0.9867671132087708,0.9220778346061707,0.9845936894416809,0.9174922704696655,0.981773316860199,0.9089080095291138,0.9796470999717712,0.8959656953811646,0.9765556454658508,0.8827854990959167,0.9733806848526001,0.8752232193946838,0.9707513451576233,0.8654322624206543,0.9678754210472107,0.8498987555503845,0.9633822441101074,0.8394045233726501,0.959555983543396,0.8316454887390137,0.9554260969161987,0.8186232447624207,0.9503917694091797,0.8052800893783569,0.9475553035736084,0.7897108793258667,0.9438236355781555,0.7799136638641357,0.9357505440711975,0.7700114250183105,0.9309879541397095,0.7585352659225464,0.9274642467498779,0.7422907948493958,0.9205920696258545,0.7382760643959045,0.9158927798271179,0.7242909073829651,0.9088786244392395,0.7139375805854797,0.9024428725242615,0.6999194025993347,0.8963605165481567,0.6935843825340271,0.8879056572914124,0.6875107288360596,0.8833730816841125,0.6737061738967896,0.8746654987335205,0.6651896834373474,0.8693699836730957,0.6552329659461975,0.8606219291687012,0.6472907066345215,0.8483912944793701,0.6350048184394836,0.8427396416664124,0.629692018032074,0.8351656198501587,0.6175180673599243,0.8249494433403015,0.6154926419258118,0.8170825839042664,0.6069552898406982,0.8070993423461914,0.5999026298522949,0.7965756058692932,0.5897104144096375,0.7918733954429626,0.5767667293548584,0.7789952158927917,0.57308030128479,0.7695109248161316,0.5635079145431519,0.7574365735054016,0.5567800998687744,0.7493277788162231,0.5485227704048157,0.7356308102607727,0.5471765995025635,0.7264895439147949,0.5366039872169495,0.7153074145317078,0.5269213318824768,0.7060884237289429,0.5216753482818604,0.6982448697090149,0.5111896395683289,0.6831384897232056,0.504062294960022,0.6733061671257019,0.4993886649608612,0.6616500616073608,0.48955872654914856,0.6564574837684631,0.4841178357601166,0.6401796936988831,0.488012433052063,0.6324535012245178,0.4732498824596405,0.6172177791595459
LR (baseline),baseline,90,37,0.7795918583869934,2.1658339392160997e-05,0.9991655945777893,0.9998893141746521,0.9978260397911072,0.9997046589851379,0.9960784316062927,0.9992576241493225,0.9945507645606995,0.9987648129463196,0.9906364679336548,0.9981951117515564,0.9884949922561646,0.9971556663513184,0.9846999645233154,0.9963557124137878,0.9789361953735352,0.9949473142623901,0.9747963547706604,0.9940541982650757,0.9695308804512024,0.991366982460022,0.9625523090362549,0.9906309843063354,0.9533759951591492,0.988258957862854,0.9524226188659668,0.9866772890090942,0.938869297504425,0.9843969941139221,0.9372148513793945,0.9817889928817749,0.9291161298751831,0.9792503118515015,0.9218049645423889,0.9762371778488159,0.9096020460128784,0.9727116823196411,0.9076648950576782,0.969917893409729,0.8983264565467834,0.9669297337532043,0.885801374912262,0.9623923897743225,0.8823447823524475,0.9587529897689819,0.8779265284538269,0.9532026052474976,0.8675387501716614,0.9488993287086487,0.8576799035072327,0.9448780417442322,0.8463470935821533,0.9418943524360657,0.8373669981956482,0.9348171949386597,0.8341598510742188,0.9296529293060303,0.8254124522209167,0.9244233965873718,0.8103535175323486,0.9166386723518372,0.8053565621376038,0.9128972887992859,0.7990803122520447,0.9056199789047241,0.7858268618583679,0.9002324938774109,0.7856616377830505,0.8930849432945251,0.775376558303833,0.8887345194816589,0.7688243389129639,0.880420446395874,0.7574009895324707,0.8732779622077942,0.751031219959259,0.8675678968429565,0.7469319701194763,0.859614908695221,0.7421256303787231,0.8508791923522949,0.7351807355880737,0.8427980542182922,0.7287811636924744,0.8338269591331482,0.7211531400680542,0.8257961273193359,0.7077599763870239,0.8173489570617676,0.7047053575515747,0.8080373406410217,0.7044591903686523,0.7990474104881287,0.6996651887893677,0.7888157963752747,0.6864210367202759,0.777738630771637,0.6812846660614014,0.7692573666572571,0.6719150543212891,0.7563861012458801,0.6659196615219116,0.7440273761749268,0.6640847325325012,0.7401054501533508,0.6536648273468018,0.7263110876083374,0.6437754034996033,0.7161371111869812,0.6417850852012634,0.7047584056854248,0.6418370604515076,0.6932339072227478,0.6358006596565247,0.6878039240837097,0.6264813542366028,0.6712043285369873,0.620928168296814,0.6581746935844421,0.6182569861412048,0.6484671831130981,0.6138920187950134,0.6382007002830505,0.6123288869857788,0.6241695880889893,0.5951924324035645,0.6168352365493774
LR (baseline),baseline,90,49,1.0,2.8813210519729182e-05,0.9991997480392456,0.9998899102210999,0.9979794025421143,0.9997053146362305,0.9963065981864929,0.9992589354515076,0.9951660633087158,0.9987547993659973,0.9913440346717834,0.9981871247291565,0.9898077249526978,0.9971874952316284,0.9863446950912476,0.9963711500167847,0.9816085696220398,0.9949319958686829,0.9779218435287476,0.9940778017044067,0.9725279211997986,0.9912660717964172,0.9664927124977112,0.9906268119812012,0.9581702947616577,0.9882972240447998,0.9587134718894958,0.9867820739746094,0.9468368291854858,0.9842803478240967,0.9457337856292725,0.9818160533905029,0.9373354911804199,0.9791996479034424,0.9312485456466675,0.9765030145645142,0.9206793904304504,0.9728806614875793,0.9202471375465393,0.970331072807312,0.9092758893966675,0.9669927954673767,0.9002168774604797,0.9626518487930298,0.8964533805847168,0.9594955444335938,0.8906575441360474,0.9527534246444702,0.8825958371162415,0.9492572546005249,0.8748634457588196,0.944638729095459,0.8649274706840515,0.9413978457450867,0.855933427810669,0.9359517693519592,0.853252649307251,0.9314123392105103,0.8433570861816406,0.924049437046051,0.8318284153938293,0.9186449646949768,0.825555145740509,0.9130527973175049,0.8185644745826721,0.9063772559165955,0.8041718006134033,0.9016426801681519,0.8046038746833801,0.8918675780296326,0.795097827911377,0.8893606662750244,0.7846981287002563,0.8811759948730469,0.7804602980613708,0.8713586330413818,0.7683490514755249,0.8673424124717712,0.7650255560874939,0.8612426519393921,0.7592923641204834,0.852662205696106,0.7488464713096619,0.8447465300559998,0.7465516924858093,0.8361499309539795,0.7342433333396912,0.8309258222579956,0.7274446487426758,0.8218783736228943,0.7240860462188721,0.8133008480072021,0.7161126136779785,0.8052907586097717,0.707464337348938,0.8000760078430176,0.6982723474502563,0.7900049686431885,0.693402111530304,0.7828181982040405,0.6879405975341797,0.769094705581665,0.6830196380615234,0.7613751292228699,0.6789823174476624,0.7492821216583252,0.6626050472259521,0.7390435934066772,0.6618191599845886,0.7294124364852905,0.6487545967102051,0.7203477621078491,0.6457107067108154,0.7131454348564148,0.6371446251869202,0.7027378678321838,0.6331207156181335,0.6878015995025635,0.623077929019928,0.6749204993247986,0.6222938895225525,0.6689809560775757,0.6187986135482788,0.6583766937255859,0.6175340414047241,0.647232711315155,0.6041423678398132,0.6392725706100464
LR (baseline),baseline,91,0,0.10000000149011612,4.520675247476902e-07,0.9996592402458191,0.9998195171356201,0.9992918968200684,0.9995723962783813,0.9984554648399353,0.9990628361701965,0.9975645542144775,0.9985463619232178,0.9965085983276367,0.9979867935180664,0.9947657585144043,0.9972635507583618,0.9925096035003662,0.9960389137268066,0.9908833503723145,0.9950868487358093,0.9879046678543091,0.9935908913612366,0.9848690032958984,0.9925690293312073,0.9803515076637268,0.9914743304252625,0.9781324863433838,0.9890920519828796,0.9732065796852112,0.9870561361312866,0.9681705832481384,0.9852272272109985,0.9619947075843811,0.9833875298500061,0.958521842956543,0.9806087613105774,0.9507872462272644,0.9774346947669983,0.9441985487937927,0.9750785827636719,0.9377877116203308,0.9727162718772888,0.9269182682037354,0.9693143367767334,0.9192097187042236,0.9668496251106262,0.9112493991851807,0.9630551338195801,0.9008572101593018,0.9583296179771423,0.8902456760406494,0.955003023147583,0.8756667971611023,0.9516445398330688,0.8682926297187805,0.9466367363929749,0.8540226817131042,0.9435636401176453,0.842329204082489,0.9386903643608093,0.827606201171875,0.9349491000175476,0.8136972188949585,0.9267591238021851,0.798975944519043,0.92330002784729,0.7815256118774414,0.9176596999168396,0.769723117351532,0.9103272557258606,0.7506245970726013,0.903152346611023,0.7343260645866394,0.8977128863334656,0.7219144701957703,0.8908063173294067,0.7001442909240723,0.8856378793716431,0.685339629650116,0.8777265548706055,0.6657654643058777,0.8691726326942444,0.6471017003059387,0.8574379682540894,0.6286429166793823,0.8510197997093201,0.6149408221244812,0.8418188691139221,0.5875612497329712,0.8301110863685608,0.5713639855384827,0.82218337059021,0.5544371604919434,0.8097801804542542,0.5367881059646606,0.7942991852760315,0.5187247395515442,0.7808582782745361,0.4974818527698517,0.7720075249671936,0.48036691546440125,0.7594051361083984,0.4608282744884491,0.7442293167114258,0.4457927346229553,0.7286379337310791,0.42419230937957764,0.7106143236160278,0.4073348641395569,0.6966657042503357,0.38739416003227234,0.6697988510131836,0.3763370215892792,0.6542669534683228,0.3557540476322174,0.6358240246772766,0.3442007899284363,0.6174818277359009,0.3263353407382965,0.5967162251472473,0.3114350438117981,0.5754926800727844,0.3012959957122803,0.5546329021453857,0.2808251976966858,0.5391963124275208,0.27050668001174927,0.5169152617454529,0.2615337371826172,0.4989165663719177
LR (baseline),baseline,91,12,0.3204081654548645,4.600750344252447e-06,0.9991022348403931,0.999819815158844,0.9977142214775085,0.9995713829994202,0.9955844879150391,0.999065101146698,0.9928985238075256,0.99858558177948,0.9894056916236877,0.9979101419448853,0.9841780662536621,0.9972489476203918,0.9783208966255188,0.9961003661155701,0.9729678630828857,0.9950639605522156,0.9663795232772827,0.9933501482009888,0.9574741721153259,0.9925789833068848,0.948213517665863,0.9911739230155945,0.9406623840332031,0.9889143705368042,0.9290090799331665,0.9866776466369629,0.9173998832702637,0.9850468635559082,0.9049683213233948,0.9828184247016907,0.8958091735839844,0.9806046485900879,0.8816584348678589,0.9773113131523132,0.8689055442810059,0.9741351008415222,0.8553928732872009,0.9716408252716064,0.8352643251419067,0.9676434397697449,0.8221356272697449,0.9656226634979248,0.80596524477005,0.9613569974899292,0.7924660444259644,0.9562260508537292,0.7756145000457764,0.9536723494529724,0.7596191167831421,0.9493250250816345,0.7414639592170715,0.9448352456092834,0.7244763374328613,0.9388613700866699,0.7105877995491028,0.9361727237701416,0.6947774887084961,0.9304404854774475,0.6736737489700317,0.9232313632965088,0.6620288491249084,0.9176066517829895,0.6421607732772827,0.9114473462104797,0.6281613111495972,0.9048692584037781,0.6092491745948792,0.8988268375396729,0.5969302654266357,0.890218198299408,0.5837563872337341,0.8860957622528076,0.5643279552459717,0.8760059475898743,0.5536467432975769,0.8680458068847656,0.5417723059654236,0.8639686107635498,0.5253645181655884,0.8530993461608887,0.5128172636032104,0.84576416015625,0.4948909878730774,0.8383497595787048,0.4810478985309601,0.8249521851539612,0.4693601727485657,0.8176508545875549,0.45692893862724304,0.8056630492210388,0.44437816739082336,0.7966921925544739,0.43028202652931213,0.7884748578071594,0.4207953214645386,0.7782734036445618,0.4079170227050781,0.7661926746368408,0.396557092666626,0.7532770037651062,0.3805433213710785,0.745124876499176,0.3703770935535431,0.7338375449180603,0.3632473349571228,0.7151384353637695,0.3490186035633087,0.7039409279823303,0.34232255816459656,0.6934388279914856,0.32663023471832275,0.682181715965271,0.32097914814949036,0.6662070751190186,0.31022050976753235,0.6555429697036743,0.30165427923202515,0.6418694853782654,0.2872084677219391,0.6341279745101929,0.2814996540546417,0.6154994964599609,0.2760513424873352,0.6081070899963379,0.26506108045578003,0.5986570715904236
LR (baseline),baseline,91,24,0.5408163070678711,1.246189003722975e-05,0.9990735650062561,0.9998195767402649,0.9976755976676941,0.9995712637901306,0.9955304861068726,0.9990695714950562,0.9927720427513123,0.9986307621002197,0.9893847703933716,0.9978379011154175,0.9845427870750427,0.9971790313720703,0.9790709018707275,0.9961150884628296,0.9745597839355469,0.9950188398361206,0.9684860706329346,0.9931707382202148,0.9607825875282288,0.9924849271774292,0.952580451965332,0.9908362627029419,0.9452345371246338,0.9886318445205688,0.9347155690193176,0.9866786599159241,0.9257263541221619,0.9847151637077332,0.9152011871337891,0.9824047088623047,0.9086838960647583,0.9801825284957886,0.8978115320205688,0.9763740301132202,0.88811194896698,0.9737051725387573,0.8768689632415771,0.9706555604934692,0.8595839738845825,0.966488242149353,0.8530530333518982,0.9638909101486206,0.8413431644439697,0.9601446986198425,0.8307368755340576,0.9552280902862549,0.8159559965133667,0.9513296484947205,0.8087420463562012,0.946657121181488,0.7940810918807983,0.9422325491905212,0.7838014960289001,0.9379624128341675,0.7714114189147949,0.9314818382263184,0.7623385787010193,0.9263320565223694,0.7505984306335449,0.9209957122802734,0.7391246557235718,0.9139600396156311,0.7264212965965271,0.9073464870452881,0.7187416553497314,0.9012323021888733,0.7070629596710205,0.896995484828949,0.6972610950469971,0.8870900869369507,0.6828631162643433,0.8815728425979614,0.6726915240287781,0.8767092227935791,0.6686998605728149,0.8667998909950256,0.6592446565628052,0.8589963912963867,0.651054859161377,0.8500384092330933,0.6404262781143188,0.8430298566818237,0.6296278834342957,0.8358985185623169,0.6236090064048767,0.8236933350563049,0.6124120354652405,0.8171076774597168,0.6062434315681458,0.8072259426116943,0.5988561511039734,0.7966793179512024,0.5888198614120483,0.790355384349823,0.578021228313446,0.7781054377555847,0.5702106952667236,0.7670130133628845,0.5626716017723083,0.7565479874610901,0.5577147603034973,0.7463842034339905,0.5503965020179749,0.7377080917358398,0.5471088290214539,0.7236406207084656,0.5357337594032288,0.7155722975730896,0.5345616936683655,0.7049614787101746,0.5184100270271301,0.6960734128952026,0.5133969187736511,0.6827390193939209,0.5095466375350952,0.6679989099502563,0.5055451989173889,0.6555340886116028,0.4914526045322418,0.6500787734985352,0.491445928812027,0.6370944976806641,0.4875178933143616,0.6291499137878418,0.4746754765510559,0.6160425543785095
LR (baseline),baseline,91,37,0.7795918583869934,2.1663570805685595e-05,0.9991982579231262,0.9998196363449097,0.9979938268661499,0.9995715022087097,0.9961436986923218,0.9990761280059814,0.9936315417289734,0.9986684918403625,0.9908826351165771,0.9977867603302002,0.9872127175331116,0.9971099495887756,0.9832882881164551,0.9960728883743286,0.9797902703285217,0.9949461817741394,0.9749131798744202,0.9931163787841797,0.9696421027183533,0.9922103881835938,0.9638099670410156,0.9905965328216553,0.9566712975502014,0.9883987903594971,0.9486095309257507,0.9865310192108154,0.9431259632110596,0.98435378074646,0.933891773223877,0.9825129508972168,0.9304627776145935,0.9795912504196167,0.9207876920700073,0.9760276079177856,0.913121223449707,0.9737220406532288,0.9046452641487122,0.9704537391662598,0.8938050270080566,0.966230034828186,0.8912072777748108,0.9630877375602722,0.8826195001602173,0.960076093673706,0.8742842078208923,0.9563026428222656,0.8625479340553284,0.9503238201141357,0.8565598130226135,0.9469777345657349,0.8470364809036255,0.9418924450874329,0.8427233099937439,0.9379746317863464,0.8299747109413147,0.9317879676818848,0.8250433206558228,0.9265288710594177,0.8164011240005493,0.9201115369796753,0.8062777519226074,0.9142025709152222,0.7993394732475281,0.9094073176383972,0.7896687388420105,0.903746485710144,0.7799612879753113,0.8972988724708557,0.775787353515625,0.8888624310493469,0.7602068185806274,0.88108891248703,0.7554051876068115,0.8770501017570496,0.7467975616455078,0.8708215355873108,0.7465370297431946,0.8603083491325378,0.7414580583572388,0.8527727723121643,0.7312390208244324,0.8490893244743347,0.721610426902771,0.8407542109489441,0.718384861946106,0.8313698768615723,0.7087010145187378,0.8228709101676941,0.701747477054596,0.8127598762512207,0.6917654871940613,0.8016907572746277,0.6859419345855713,0.7956442832946777,0.6781409382820129,0.7879390716552734,0.6689517498016357,0.7764946818351746,0.6690046191215515,0.7680278420448303,0.6643670201301575,0.7573251128196716,0.6542841196060181,0.7484368681907654,0.6475827693939209,0.7386761903762817,0.643552303314209,0.7256140112876892,0.6343097686767578,0.7172092199325562,0.6360737085342407,0.7053741812705994,0.6261789798736572,0.6930124759674072,0.6164824366569519,0.6888633370399475,0.6119754910469055,0.6742115616798401,0.6079609990119934,0.6626972556114197,0.6015976071357727,0.6515639424324036,0.6007292866706848,0.6460469365119934,0.592169463634491,0.6415373086929321
LR (baseline),baseline,91,49,1.0,2.8773651138180867e-05,0.999264121055603,0.9998193979263306,0.9981321692466736,0.9995707273483276,0.9964255690574646,0.9990822076797485,0.9939612746238708,0.9986929297447205,0.9915671944618225,0.9977631568908691,0.988492488861084,0.9970659017562866,0.9852835536003113,0.9960424900054932,0.981816291809082,0.9949048757553101,0.9773200750350952,0.9931275248527527,0.973579466342926,0.9920225739479065,0.9685276746749878,0.9904929399490356,0.9619015455245972,0.9882137775421143,0.9544560313224792,0.9863450527191162,0.9507681727409363,0.9840275645256042,0.9416012763977051,0.9825624823570251,0.9389342665672302,0.9792923331260681,0.9300661683082581,0.9757727384567261,0.9240481853485107,0.9735551476478577,0.9147847294807434,0.9704569578170776,0.9068440794944763,0.9661967754364014,0.9043193459510803,0.962927520275116,0.8967726230621338,0.9597764611244202,0.8873070478439331,0.9563468098640442,0.881786584854126,0.951406717300415,0.8717125654220581,0.9465300440788269,0.8638490438461304,0.9419774413108826,0.8580793142318726,0.9384918212890625,0.8471192121505737,0.9317730069160461,0.8404801487922668,0.9271020889282227,0.8355663418769836,0.9192666411399841,0.8224040865898132,0.9144254922866821,0.8184540867805481,0.9088647365570068,0.812372624874115,0.903989315032959,0.8024252653121948,0.896868884563446,0.7929415702819824,0.8910977840423584,0.783183753490448,0.8835754990577698,0.7717229127883911,0.878123939037323,0.7677598595619202,0.8749831318855286,0.7636212706565857,0.8644972443580627,0.7574290037155151,0.8558753728866577,0.742851734161377,0.8503673672676086,0.7362170815467834,0.8429697155952454,0.7282458543777466,0.8345820903778076,0.7179470658302307,0.8244101405143738,0.7089264988899231,0.8169909119606018,0.6995508074760437,0.8070675730705261,0.6924446821212769,0.8002919554710388,0.6848190426826477,0.7905968427658081,0.6788249611854553,0.779035747051239,0.667725682258606,0.7739051580429077,0.663049578666687,0.7614908218383789,0.6533102989196777,0.7517219185829163,0.6438082456588745,0.7398063540458679,0.636838436126709,0.7303310632705688,0.6310186386108398,0.7219281792640686,0.6257377862930298,0.7085248231887817,0.6133101582527161,0.6996882557868958,0.6075043678283691,0.6915971636772156,0.6042289137840271,0.6768836975097656,0.6013858914375305,0.6625544428825378,0.5900027751922607,0.6544967889785767,0.5845798850059509,0.6470087170600891,0.5779522657394409,0.633238673210144
